"Key","Event-Id","Investigation_Type","Event_Date","Country","Airport_Code","Injury_Severity","Aircraft_Damage","airport_id","airport","city","state","lat","long"
4048,"20160616X62306","Accident","2016-06-15","United States","SAF","Non-Fatal","Substantial","SAF","Santa Fe Municipal","Santa Fe","NM","35.61677778","-106.08813889999999"
4073,"20160613X32323","Accident","2016-06-10","United States","PSC","Non-Fatal","Substantial","PSC","Tri-Cities","Pasco","WA","46.26468028","-119.11902920000001"
4090,"20160609X50758","Accident","2016-06-09","United States","HOU","Fatal(3)","Substantial","HOU","William P Hobby","Houston","TX","29.64541861","-95.27888889"
4160,"20160601X13256","Accident","2016-05-28","United States","MAF","Non-Fatal","Substantial","MAF","Midland International","Midland","TX","31.94252778","-102.20191390000001"
4165,"20160601X95218","Accident","2016-05-27","United States","ABQ","Non-Fatal","Substantial","ABQ","Albuquerque International","Albuquerque","NM","35.04022222","-106.6091944"
4168,"20160601X01308","Accident","2016-05-27","United States","FSD","Non-Fatal","Substantial","FSD","Joe Foss ","Sioux Falls","SD","43.58135111","-96.74170028"
4192,"20160601X03445","Accident","2016-05-19","United States","PHF","Non-Fatal","Substantial","PHF","Newport News/Williamsburg International","Newport News","VA","37.13189556","-76.4929875"
4249,"20160511X91028","Accident","2016-05-10","United States","CAK","Non-Fatal","Substantial","CAK","Akron-Canton Regional","Akron","OH","40.91631194","-81.44246556"
4282,"20160510X34023","Accident","2016-05-01","United States","HRL","Non-Fatal","Substantial","HRL","Valley International","Harlingen","TX","26.22850611","-97.65439389"
4284,"20160505X15324","Accident","2016-05-01","United States","BOI","Non-Fatal","Substantial","BOI","Boise Air Terminal","Boise","ID","43.56444444","-116.22277779999999"
4358,"20160416X61819","Accident","2016-04-16","United States","BWI","Non-Fatal","Destroyed","BWI","Baltimore-Washington International","Baltimore","MD","39.17540167","-76.66819833"
4385,"20160413X94401","Incident","2016-04-07","United States","DFW","Incident",NULL,"DFW","Dallas-Fort Worth International","Dallas-Fort Worth","TX","32.89595056","-97.0372"
4386,"20160413X94401","Incident","2016-04-07","United States","DFW","Incident",NULL,"DFW","Dallas-Fort Worth International","Dallas-Fort Worth","TX","32.89595056","-97.0372"
